41610,223,5
P-2,U1,0.0,0.0,0.0,56.0,99.0,81.0
P-3,U1,0.0,99.0,0.0,42.0,200.0,51.0
P-6,U1,56.0,0.0,0.0,147.0,56.0,84.0
P-9,U1,0.0,200.0,0.0,73.0,271.0,88.0
P-10,U1,147.0,0.0,0.0,217.0,88.0,85.0
P-15,U1,42.0,99.0,0.0,126.0,148.0,60.0
P-16,U1,0.0,0.0,81.0,48.0,93.0,144.0
P-17,U1,0.0,99.0,60.0,83.0,162.0,117.0
P-20,U1,126.0,88.0,0.0,214.0,194.0,56.0
P-23,U1,83.0,0.0,84.0,134.0,110.0,134.0
P-36,U1,73.0,194.0,0.0,159.0,274.0,78.0
P-41,U1,0.0,162.0,88.0,104.0,252.0,156.0
P-42,U1,0.0,274.0,0.0,62.0,315.0,109.0
P-45,U1,134.0,0.0,85.0,215.0,91.0,157.0
P-46,U1,62.0,252.0,88.0,156.0,314.0,159.0
P-49,U1,62.0,274.0,0.0,162.0,314.0,69.0
P-50,U1,126.0,110.0,56.0,199.0,174.0,160.0
P-68,U1,162.0,194.0,0.0,208.0,286.0,81.0
P-69,U1,156.0,174.0,81.0,203.0,258.0,135.0
P-71,U2,0.0,0.0,0.0,99.0,43.0,60.0
P-73,U2,0.0,43.0,0.0,104.0,129.0,63.0
P-82,U2,0.0,129.0,0.0,66.0,200.0,97.0
P-86,U1,56.0,56.0,0.0,121.0,97.0,63.0
P-94,U2,104.0,0.0,0.0,171.0,98.0,66.0
P-103,U2,0.0,200.0,0.0,44.0,278.0,102.0
P-105,U2,66.0,129.0,0.0,146.0,224.0,103.0
P-106,U2,146.0,98.0,0.0,200.0,188.0,92.0
P-109,U2,171.0,0.0,0.0,215.0,98.0,79.0
P-112,U2,0.0,0.0,63.0,63.0,79.0,130.0
P-117,U1,0.0,252.0,109.0,52.0,317.0,158.0
P-124,U2,44.0,224.0,0.0,98.0,296.0,104.0
P-125,U2,146.0,188.0,0.0,214.0,273.0,91.0
P-126,U2,146.0,188.0,91.0,210.0,273.0,151.0
P-129,U2,63.0,0.0,66.0,122.0,110.0,151.0
P-133,U2,122.0,0.0,92.0,213.0,109.0,155.0
P-134,U3,0.0,0.0,0.0,80.0,88.0,97.0
P-136,U2,98.0,224.0,0.0,145.0,290.0,102.0
P-139,U3,0.0,88.0,0.0,96.0,172.0,75.0
P-142,U3,0.0,0.0,97.0,92.0,74.0,180.0
P-145,U3,0.0,172.0,0.0,75.0,278.0,79.0
P-147,U1,42.0,148.0,0.0,107.0,194.0,55.0
P-148,U2,0.0,110.0,103.0,100.0,177.0,152.0
P-150,U1,0.0,93.0,117.0,54.0,151.0,159.0
P-157,U2,0.0,177.0,104.0,88.0,265.0,158.0
P-162,U2,100.0,110.0,103.0,204.0,175.0,149.0
P-163,U3,96.0,0.0,0.0,145.0,83.0,83.0
P-165,U3,0.0,74.0,97.0,103.0,170.0,190.0
P-168,U3,75.0,172.0,0.0,143.0,259.0,88.0
P-180,U3,145.0,0.0,0.0,225.0,71.0,59.0
P-181,U2,88.0,177.0,104.0,146.0,275.0,161.0
P-183,U3,0.0,0.0,180.0,105.0,72.0,237.0
P-187,U3,75.0,259.0,0.0,159.0,313.0,78.0
P-188,U2,0.0,265.0,104.0,86.0,316.0,155.0
P-199,U1,156.0,258.0,81.0,223.0,316.0,154.0
P-207,U2,146.0,273.0,0.0,216.0,318.0,95.0
P-211,U3,0.0,170.0,88.0,96.0,265.0,169.0
P-212,U3,0.0,72.0,190.0,105.0,146.0,238.0
P-214,U3,96.0,83.0,0.0,154.0,164.0,61.0
P-215,U3,159.0,71.0,0.0,239.0,158.0,89.0
P-216,U1,104.0,174.0,78.0,148.0,238.0,161.0
P-217,U3,96.0,170.0,88.0,174.0,244.0,160.0
P-219,U3,0.0,170.0,169.0,94.0,246.0,230.0
P-222,U3,75.0,265.0,78.0,163.0,306.0,151.0
P-224,U3,96.0,170.0,160.0,164.0,269.0,216.0
P-226,U3,174.0,158.0,0.0,234.0,230.0,74.0
P-232,U3,0.0,265.0,79.0,67.0,312.0,163.0
P-236,U3,145.0,0.0,59.0,236.0,56.0,115.0
P-238,U3,174.0,230.0,0.0,224.0,299.0,102.0
P-252,U3,105.0,56.0,83.0,153.0,166.0,178.0
P-255,U3,174.0,0.0,115.0,238.0,98.0,211.0
P-264,U3,174.0,158.0,74.0,234.0,226.0,182.0
P-265,U3,0.0,246.0,169.0,47.0,306.0,227.0
P-266,U3,164.0,244.0,102.0,225.0,297.0,190.0
