27325,258,3
394,U5,0,0,0,76,96,95
119,U5,0,96,0,95,175,87
167,U5,0,175,0,78,268,83
12,U5,78,175,0,165,256,83
266,U5,165,175,0,242,258,89
174,U5,78,175,89,172,238,184
25,U5,172,175,89,242,271,171
325,U5,172,175,171,243,263,255
391,U5,78,238,83,146,313,180
310,U5,78,175,184,151,269,256
52,U5,0,175,83,58,266,176
330,U5,95,0,0,190,97,52
305,U5,95,97,0,177,161,91
368,U5,95,97,91,192,149,185
90,U5,95,97,185,192,163,259
226,U5,0,175,176,75,264,244
159,U5,0,96,87,80,164,169
284,U5,0,0,169,82,98,224
209,U5,0,98,169,65,168,265
206,U5,82,0,52,157,75,129
149,U5,157,0,52,242,89,109
372,U5,157,0,109,218,73,205
60,U5,157,0,205,237,74,277
19,U6,0,0,0,79,69,75
123,U5,76,0,224,157,97,276
222,U6,0,69,0,62,136,96
118,U5,82,0,129,141,70,224
333,U5,78,258,0,177,309,77
2,U5,177,97,0,236,175,82
18,U5,146,271,77,236,318,166
297,U5,0,0,95,79,87,149
186,U6,0,136,0,60,234,63
392,U6,0,234,0,78,300,71
98,U6,78,234,0,135,314,80
316,U6,135,234,0,212,305,66
81,U5,0,269,180,86,317,267
140,U5,151,263,171,223,317,263
97,U6,135,234,66,234,278,148
272,U6,60,136,0,119,223,69
208,U6,119,136,0,200,231,46
58,U5,192,89,82,236,169,181
125,U6,135,234,148,197,305,227
293,U6,0,234,71,68,302,146
175,U6,0,234,146,92,278,231
396,U5,192,97,181,241,170,277
3,U6,135,234,227,224,316,273
214,U6,119,136,46,177,195,143
381,U6,177,136,46,229,210,132
213,U5,0,0,224,70,87,277
200,U6,119,136,143,202,194,208
287,U5,0,268,0,76,317,83
280,U6,60,136,69,109,198,168
395,U6,0,234,231,99,308,272
161,U6,177,136,208,236,206,280
110,U6,60,136,208,144,188,273
101,U6,0,136,63,57,193,150
183,U6,62,69,0,142,132,56
212,U6,60,188,208,156,230,278
387,U5,177,258,0,243,313,75
264,U6,142,69,0,237,122,54
382,U6,142,0,54,213,72,105
68,U5,0,175,244,78,256,285
172,U6,0,136,150,48,200,232
63,U6,68,234,80,126,304,142
77,U6,202,136,132,243,221,204
30,U6,142,72,54,237,132,98
383,U6,142,72,98,219,132,152
166,U6,142,0,105,192,72,174
273,U6,197,221,148,244,307,208
268,U5,0,268,83,77,318,145
267,U6,142,72,152,201,124,228
54,U6,62,72,56,136,114,131
239,U6,62,72,131,126,126,198
6,U6,142,72,228,226,119,285
38,U6,0,72,198,81,113,265
88,U6,79,0,174,156,50,230
23,U6,156,0,174,225,47,240
75,U6,81,72,198,140,136,254
181,U5,190,0,0,237,92,48
107,U6,79,0,0,160,62,41
232,U5,86,271,180,137,313,274
216,U6,60,136,168,118,221,208
306,U6,0,0,75,75,41,139
96,U6,0,0,139,66,42,209
20,U6,0,136,232,58,207,279
317,U6,0,0,209,77,44,266
22,U6,0,72,96,50,132,160
315,U6,160,0,0,228,54,49
15,U6,79,0,230,147,48,285
177,U3,0,0,0,87,42,49
157,U3,0,42,0,71,86,53
50,U6,92,234,142,133,287,218
151,U6,192,0,105,234,72,155
